months_age,box,distance,gender,grade,racenumber,schedule,dogName,ken,odds,time,trn,avg_weight,hiGrade
32,2,0,0,3,13,0,148,5,12.0,31.38,5,54,5
20,3,0,1,3,13,0,1104,3,7.0,31.04,4,72,4
44,6,1,0,3,1,1,746,3,7.0,37.81,4,61,3
56,7,1,0,3,1,1,353,8,8.0,38.29,8,68,4
32,8,1,1,3,1,1,1301,15,6.0,38.33,3,73,4
44,1,0,1,1,2,1,797,6,12.0,30.78,15,71,3
32,2,0,0,1,2,1,1288,6,6.0,30.77,15,61,2
32,3,0,1,1,2,1,2257,12,10.0,30.88,18,83,3
44,4,0,1,1,2,1,2290,5,7.0,30.74,5,75,2
31,5,0,0,1,2,1,1152,7,8.0,31.04,11,65,3
55,6,0,1,1,2,1,175,0,2.5,30.72,22,68,2
44,7,0,1,1,2,1,153,4,4.5,30.61,2,74,2
44,8,0,1,1,2,1,681,15,4.0,30.46,3,78,2
56,1,0,0,0,3,1,981,10,8.0,30.74,10,68,2
32,5,0,1,3,13,0,166,11,3.5,32.27,7,72,5
31,7,0,0,3,13,0,2023,4,4.0,31.26,2,60,5
44,1,0,1,2,14,0,1878,0,8.0,31.09,22,70,4
31,2,0,0,2,14,0,1537,9,12.0,30.81,17,61,4
68,3,0,1,2,14,0,1649,3,7.0,30.79,4,74,2
31,4,0,0,2,14,0,649,8,6.0,30.75,8,64,2
43,5,0,1,2,14,0,947,6,4.5,30.62,15,73,2
32,6,0,1,2,14,0,426,13,4.0,30.85,21,78,4
31,2,0,1,0,3,1,1098,15,3.5,30.51,3,70,2
32,3,0,0,0,3,1,186,2,7.0,30.78,16,66,2
32,4,0,1,0,3,1,1052,7,6.0,30.79,11,75,2
44,5,0,1,0,3,1,795,6,4.0,30.56,15,70,2
43,6,0,0,0,3,1,1485,9,12.0,30.66,17,64,2
32,8,0,1,0,3,1,601,12,2.5,30.41,18,71,2
44,1,0,1,5,4,1,2146,3,2.5,30.17,4,70,2
43,2,0,1,5,4,1,1501,9,4.5,30.51,17,84,2
32,3,0,0,5,4,1,505,10,7.0,30.65,10,62,2
43,4,0,0,5,4,1,1092,7,8.0,30.84,11,73,3
44,7,0,0,2,14,0,674,15,2.5,30.91,3,64,4
31,8,0,1,2,14,0,2273,12,10.0,30.88,18,74,4
20,1,0,0,2,15,0,1694,2,7.0,30.89,16,64,4
44,2,0,0,2,15,0,1303,3,6.0,31.04,4,65,4
31,3,0,0,2,15,0,23,5,3.5,30.47,5,59,4
44,4,0,0,2,15,0,567,10,2.5,31.09,10,62,4
55,5,0,1,2,15,0,2463,0,8.0,30.84,22,67,2
32,6,0,1,2,15,0,2192,12,4.0,31.12,18,75,4
31,7,0,0,2,15,0,2171,1,10.0,30.91,6,59,2
31,8,0,0,2,15,0,483,15,12.0,30.64,3,72,3
32,1,1,0,3,1,0,1566,9,12.0,38.09,17,62,4
20,2,1,0,3,1,0,9,13,3.5,37.83,21,63,4
32,3,1,0,3,1,0,2588,0,2.5,38.03,22,58,3
20,4,1,0,3,1,0,1042,2,10.0,38.09,16,66,4
44,5,1,0,3,1,0,520,5,6.0,37.93,5,57,4
32,6,1,1,3,1,0,2078,15,7.0,38.02,3,75,4
32,5,0,0,5,4,1,1272,4,6.0,30.28,2,63,2
56,6,0,1,5,4,1,2204,12,4.0,29.98,18,69,2
32,7,0,0,5,4,1,1696,5,10.0,30.45,5,61,2
44,8,0,1,5,4,1,2481,11,12.0,30.59,7,75,3
32,3,0,1,3,5,1,1467,9,3.5,31.68,17,72,5
43,4,0,0,3,5,1,2233,0,8.0,31.14,22,65,4
20,5,0,1,3,5,1,1107,3,10.0,30.86,4,76,4
32,8,1,1,3,1,0,1945,11,4.0,38.16,7,80,5
20,1,0,1,4,2,0,2554,13,7.0,31.52,21,74,6
20,2,0,0,4,2,0,2314,3,12.0,31.89,4,56,6
31,3,0,0,4,2,0,2025,4,6.0,32.51,2,62,6
20,5,0,1,4,2,0,356,7,4.5,31.53,11,70,6
20,6,0,0,4,2,0,1177,1,2.5,31.13,6,65,6
32,7,0,1,4,2,0,2464,12,10.0,31.49,18,75,6
32,8,0,1,4,2,0,467,15,8.0,31.43,3,73,6
56,8,0,0,3,5,1,78,12,4.0,31.09,18,62,5
32,1,0,0,5,6,1,428,5,2.5,30.11,5,61,2
32,2,0,1,5,6,1,916,6,6.0,30.54,15,79,2
32,3,0,0,5,6,1,789,7,4.5,30.33,11,62,2
31,4,0,1,5,6,1,684,15,12.0,30.53,3,77,2
43,6,0,1,5,6,1,1357,3,4.0,30.32,4,66,2
32,7,0,1,5,6,1,1074,12,8.0,30.27,18,71,2
31,8,0,1,5,6,1,2518,13,10.0,30.72,21,70,2
32,1,0,0,3,7,1,1401,8,4.0,31.63,8,59,5
56,2,0,1,3,7,1,1915,3,12.0,31.31,4,70,4
32,1,1,0,2,1,0,2568,13,8.0,37.81,21,66,4
43,2,1,0,2,1,0,2478,11,2.5,37.79,7,63,3
44,4,1,0,2,1,0,2471,15,10.0,37.75,3,59,3
44,5,1,1,2,1,0,1044,1,3.5,37.64,6,74,3
32,6,1,0,2,1,0,1400,8,6.0,37.86,8,60,3
32,7,1,0,2,1,0,1920,3,12.0,37.58,4,64,4
31,1,0,1,2,3,0,2020,4,2.5,30.87,2,71,4
32,3,0,0,2,3,0,836,6,4.0,30.93,15,62,2
32,4,0,1,2,3,0,527,13,7.0,30.97,21,77,4
32,5,0,0,2,3,0,1487,9,10.0,30.84,17,60,3
44,7,0,1,2,3,0,2108,10,6.0,31.05,10,70,2
44,8,0,0,2,3,0,1902,0,8.0,30.94,22,60,4
43,1,0,0,1,4,0,1938,1,2.5,31.02,6,62,3
32,2,0,1,1,4,0,2035,7,8.0,30.66,11,75,3
44,3,0,0,3,7,1,1408,4,6.0,31.38,2,59,3
56,4,0,1,3,7,1,2319,10,3.5,31.42,10,70,5
44,5,0,1,3,7,1,334,11,8.0,31.07,7,86,4
32,6,0,1,3,7,1,2383,13,10.0,31.21,21,71,4
44,7,0,0,3,7,1,770,0,7.0,31.28,22,65,5
32,8,0,1,3,7,1,1138,1,2.5,31.06,6,66,4
32,1,0,1,5,8,1,344,6,4.0,30.59,15,72,2
32,2,0,1,5,8,1,1201,3,2.5,30.15,4,73,2
44,3,0,0,5,8,1,2091,13,12.0,30.93,21,63,2
32,4,0,1,5,8,1,1073,12,6.0,30.67,18,76,2
32,5,0,1,5,8,1,2028,0,7.0,30.88,22,73,2
44,8,1,0,2,1,0,89,12,4.0,37.81,18,64,4
31,3,0,1,4,2,0,1726,5,4.0,31.39,5,71,6
20,4,0,0,4,2,0,1610,15,10.0,31.77,3,58,6
19,5,0,0,4,2,0,320,2,7.0,32.05,16,72,6
44,3,0,0,1,4,0,2011,0,12.0,30.86,22,63,3
32,4,0,1,1,4,0,1166,9,4.0,30.52,17,83,2
43,5,0,1,1,4,0,1361,3,10.0,30.88,4,72,3
44,6,0,1,5,8,1,1252,8,4.5,30.44,8,83,2
32,8,0,1,5,8,1,162,10,10.0,30.54,10,76,2
32,1,1,1,0,9,1,1733,10,7.0,37.45,10,78,2
32,2,1,0,0,9,1,1545,9,6.0,37.41,17,65,2
20,6,0,1,4,2,0,1105,3,8.0,31.57,4,67,6
31,1,0,1,2,3,0,1626,0,12.0,31.04,22,76,4
32,2,0,1,2,3,0,102,2,8.0,30.74,16,76,3
32,3,0,1,2,3,0,389,1,10.0,31.03,6,80,4
32,4,0,1,2,3,0,2152,4,6.0,31.53,2,75,3
32,5,0,1,2,3,0,771,0,2.5,30.93,22,74,3
56,6,0,1,2,3,0,2563,13,3.5,30.88,21,75,3
32,6,0,1,1,4,0,791,6,4.5,30.79,15,73,2
43,7,0,0,1,4,0,921,10,7.0,30.73,10,58,2
55,1,0,1,3,5,0,1058,12,12.0,31.03,18,76,3
44,2,0,1,3,5,0,1847,4,10.0,31.03,2,83,3
32,3,0,1,3,5,0,670,5,8.0,31.38,5,73,4
32,5,0,1,3,5,0,1314,13,6.0,31.05,21,79,4
44,6,0,1,3,5,0,1879,0,3.5,31.08,22,75,4
43,4,1,1,0,9,1,2106,7,4.0,37.73,11,79,2
55,5,1,0,0,9,1,1202,3,10.0,37.43,4,61,2
31,7,1,0,0,9,1,817,6,8.0,37.63,15,65,2
32,8,1,0,0,9,1,777,0,2.5,37.45,22,58,2
32,1,0,0,5,10,1,1271,4,2.5,30.19,2,62,2
32,3,0,0,5,10,1,2459,8,7.0,30.65,8,62,2
55,4,0,0,5,10,1,856,6,4.0,30.35,15,58,2
56,7,0,1,2,3,0,521,10,4.0,31.02,10,78,3
32,8,0,0,2,3,0,1650,7,7.0,30.84,11,58,4
32,1,0,1,1,4,0,103,2,4.5,31.09,16,79,2
44,2,0,0,1,4,0,773,8,12.0,30.85,8,62,2
32,3,0,1,1,4,0,345,6,6.0,30.42,15,70,3
32,4,0,1,1,4,0,417,10,7.0,30.78,10,68,2
43,5,0,0,1,4,0,1066,12,4.0,30.64,18,63,2
32,6,0,0,1,4,0,2098,0,2.5,30.94,22,66,3
32,7,0,1,1,4,0,2082,4,10.0,30.68,2,77,2
56,8,0,1,1,4,0,2328,15,8.0,31.08,3,78,3
43,1,0,0,3,5,0,2228,0,3.5,31.08,22,57,3
20,1,0,1,4,1,1,137,3,12.0,31.78,4,72,6
32,2,0,0,4,1,1,2467,12,10.0,31.59,18,59,6
32,3,0,0,4,1,1,2118,4,6.0,32.75,2,61,6
20,4,0,1,4,1,1,1939,1,7.0,31.85,6,73,6
20,5,0,1,4,1,1,2305,15,8.0,31.67,3,75,6
32,6,0,1,4,1,1,1473,9,2.5,31.13,17,74,6
32,7,0,0,4,1,1,88,7,3.5,31.17,11,60,6
32,7,0,1,3,5,0,2490,8,2.5,30.63,8,71,3
32,8,0,1,3,5,0,1195,3,4.0,31.06,4,74,4
32,1,0,0,0,6,0,1475,9,4.5,30.61,17,56,2
31,2,0,0,0,6,0,2198,12,4.0,30.58,18,56,2
43,4,0,1,0,6,0,977,10,8.0,30.69,10,76,2
44,5,0,1,0,6,0,880,6,12.0,30.62,15,76,2
43,6,0,0,0,6,0,776,8,6.0,30.75,8,68,2
56,7,0,0,0,6,0,676,15,7.0,30.82,3,70,2
32,8,0,0,0,6,0,187,2,10.0,30.59,16,66,2
32,1,0,1,3,7,0,361,13,6.0,31.96,21,79,5
44,6,0,1,5,10,1,295,2,8.0,30.76,16,70,2
55,8,0,1,5,10,1,1110,1,6.0,30.47,6,76,2
32,1,1,1,1,11,1,1908,3,12.0,37.89,4,71,3
32,2,1,0,1,11,1,775,0,2.5,37.48,22,58,2
44,4,1,0,1,11,1,2060,7,3.5,37.57,11,61,3
56,5,1,0,1,11,1,1102,4,10.0,37.56,2,70,2
43,4,0,1,3,5,0,2444,3,6.0,31.03,4,69,4
44,5,0,0,3,5,0,1319,15,10.0,30.88,3,57,3
31,6,0,1,3,5,0,1507,9,2.5,31.03,17,73,5
32,7,0,0,3,5,0,2519,13,8.0,31.03,21,56,4
43,1,0,1,0,6,0,1647,12,4.5,30.94,18,82,2
31,2,0,1,0,6,0,1571,9,6.0,30.51,17,78,2
44,3,0,1,0,6,0,1393,8,7.0,30.88,8,86,2
31,4,0,0,0,6,0,2201,6,12.0,30.46,15,59,2
32,2,0,1,3,2,1,1164,9,10.0,31.11,17,84,5
56,3,0,0,3,2,1,1959,1,6.0,30.61,6,65,4
32,4,0,0,3,2,1,564,11,4.5,31.31,7,67,5
20,5,0,1,3,2,1,861,6,4.0,31.13,15,76,5
31,6,0,1,3,2,1,2540,13,2.5,30.92,21,74,4
20,7,0,1,3,2,1,2575,15,12.0,31.02,3,69,5
31,8,0,0,3,2,1,105,10,8.0,31.03,10,57,5
20,1,0,1,4,3,1,1224,10,2.5,31.33,10,82,6
20,2,0,0,4,3,1,2576,15,12.0,31.66,3,59,6
32,2,0,0,3,7,0,342,6,4.0,30.67,15,54,5
31,3,0,0,3,7,0,2265,10,12.0,31.39,10,65,5
56,4,0,0,3,7,0,2110,3,10.0,30.95,4,61,3
32,6,0,1,3,7,0,391,1,3.5,31.34,6,79,3
44,7,0,0,3,7,0,202,2,2.5,31.11,16,61,4
44,8,0,0,3,7,0,1875,0,7.0,31.29,22,61,4
32,2,0,0,1,8,0,1471,9,7.0,30.47,17,64,3
44,3,0,1,1,8,0,1321,15,4.5,30.76,3,73,2
43,4,0,0,1,8,0,1085,7,6.0,30.76,11,62,3
44,6,1,0,1,11,1,897,10,7.0,37.37,10,57,2
44,7,1,0,1,11,1,685,15,6.0,37.33,3,59,3
32,8,1,0,1,11,1,2140,13,4.0,37.27,21,59,3
32,1,1,0,0,12,1,2144,13,12.0,38.09,21,60,2
43,2,1,0,0,12,1,1565,9,6.0,37.36,17,67,2
31,3,1,0,0,12,1,1494,9,2.5,37.03,17,61,2
31,4,1,1,0,12,1,400,1,10.0,37.67,6,68,2
31,5,1,0,0,12,1,1369,3,8.0,37.39,4,58,2
31,6,1,0,0,12,1,1358,3,4.0,37.52,4,57,2
32,7,1,0,0,12,1,991,6,4.5,37.35,15,57,2
32,8,1,1,0,12,1,1727,10,7.0,37.59,10,76,2
44,5,0,0,0,6,0,308,2,8.0,30.63,16,60,2
32,6,0,1,0,6,0,504,10,4.0,30.44,10,70,2
44,7,0,1,0,6,0,1943,1,10.0,30.68,6,72,2
31,8,0,1,0,6,0,2163,4,2.5,30.74,2,74,2
32,2,0,1,3,7,0,2589,1,4.0,31.15,6,74,4
32,3,0,0,3,7,0,415,0,12.0,30.91,22,77,4
44,5,0,0,3,7,0,2376,13,7.0,31.24,21,59,4
55,6,0,1,3,7,0,1919,3,6.0,31.23,4,72,4
32,7,0,1,3,7,0,1964,7,10.0,31.23,11,74,5
20,3,0,0,4,3,1,2449,1,3.5,31.79,6,61,6
32,4,0,1,4,3,1,2116,7,7.0,31.85,11,70,6
20,5,0,1,4,3,1,1103,3,10.0,31.59,4,65,6
31,6,0,1,4,3,1,1456,9,4.0,31.32,17,74,6
20,8,0,1,4,3,1,285,2,8.0,31.58,16,69,6
31,1,0,0,2,4,1,2171,1,12.0,30.91,6,59,2
32,2,0,1,2,4,1,1661,7,7.0,30.92,11,76,3
43,3,0,1,2,4,1,947,6,10.0,30.62,15,73,2
32,4,0,0,2,4,1,651,4,8.0,31.04,2,61,4
32,5,0,0,2,4,1,2407,0,4.0,30.69,22,63,4
43,5,0,1,1,8,0,843,6,10.0,30.96,15,71,2
56,6,0,1,1,8,0,1913,3,8.0,30.77,4,70,2
32,7,0,0,1,8,0,2268,10,4.0,30.56,10,58,3
32,8,0,1,1,8,0,911,6,2.5,30.97,15,84,3
43,3,0,1,2,13,1,1518,9,10.0,30.76,17,77,3
31,1,0,1,2,1,0,8,10,4.0,30.92,10,76,4
44,8,0,1,3,7,0,1082,12,8.0,30.99,18,77,3
44,1,0,0,1,8,0,306,2,10.0,30.74,16,62,2
32,2,0,1,1,8,0,397,1,2.5,30.86,6,72,3
44,3,0,1,1,8,0,1245,4,8.0,30.35,2,78,2
44,5,0,1,1,8,0,379,7,4.5,31.24,11,77,3
31,6,0,0,1,8,0,427,8,6.0,30.79,8,59,3
43,7,0,1,1,8,0,1458,9,7.0,30.76,17,74,2
32,2,1,0,3,1,0,1158,11,6.0,38.18,7,66,5
55,3,1,0,3,1,0,569,10,4.0,37.92,10,65,3
32,5,1,0,3,1,0,2507,13,2.5,38.07,21,64,5
32,6,1,1,3,1,0,1301,15,3.5,38.33,3,73,4
44,7,1,1,3,1,0,2008,1,7.0,37.85,6,77,4
31,6,0,1,2,4,1,1552,9,4.5,30.73,17,78,4
67,7,0,1,2,4,1,1012,12,6.0,30.98,18,76,3
44,8,0,0,2,4,1,823,10,2.5,30.78,10,63,3
31,1,0,1,3,5,1,1511,9,2.5,31.26,17,83,4
31,2,0,0,3,5,1,623,7,8.0,31.39,11,73,5
20,3,0,0,3,5,1,980,6,12.0,30.93,15,65,5
56,4,0,1,3,5,1,680,15,3.5,31.22,3,82,5
56,5,0,0,3,5,1,1625,0,4.0,31.08,22,67,4
32,6,0,1,3,5,1,2384,13,10.0,31.52,21,65,5
32,7,0,1,3,5,1,189,2,6.0,30.92,16,71,4
32,1,0,0,2,9,0,2370,13,7.0,31.06,21,61,3
20,2,0,1,2,9,0,1274,10,10.0,31.04,10,67,4
44,3,0,1,2,9,0,1244,4,6.0,30.85,2,80,2
44,4,0,0,2,9,0,772,0,12.0,30.75,22,60,3
32,5,0,1,2,9,0,322,2,8.0,30.87,16,82,4
56,6,0,0,2,9,0,399,1,3.5,30.66,6,64,2
31,7,0,1,2,9,0,1568,9,4.0,30.87,17,80,4
32,8,0,0,2,9,0,1116,12,2.5,30.86,18,70,4
56,1,0,0,0,10,0,1914,3,4.0,30.49,4,65,2
55,2,0,0,0,10,0,1984,1,7.0,30.65,6,62,2
32,3,0,0,0,10,0,819,6,8.0,30.69,15,60,2
44,4,0,1,0,10,0,1241,15,2.5,30.56,3,77,2
31,4,0,0,2,13,1,525,13,12.0,31.11,21,62,4
43,5,0,0,2,13,1,1946,6,8.0,31.53,15,59,3
43,6,0,1,2,13,1,711,10,7.0,31.19,10,66,4
32,7,0,0,2,13,1,1688,5,6.0,30.68,5,60,2
20,1,1,0,2,14,1,240,2,12.0,38.04,16,70,4
55,3,1,0,2,14,1,658,5,4.0,38.12,5,70,4
31,4,1,0,2,14,1,2072,7,7.0,38.09,11,58,4
44,5,1,0,2,14,1,1593,8,6.0,37.88,8,63,3
55,6,1,1,2,14,1,2566,13,2.5,38.11,21,67,3
32,2,0,1,2,1,0,1234,1,3.5,30.93,6,73,3
55,4,0,0,2,1,0,1250,8,12.0,30.71,8,64,2
32,5,0,0,2,1,0,1200,3,7.0,30.78,4,67,3
44,6,0,1,2,1,0,671,15,6.0,30.89,3,76,4
31,7,0,0,2,1,0,1864,4,8.0,30.84,2,69,3
19,3,0,0,4,2,0,333,8,4.5,32.07,8,59,6
44,1,1,0,2,1,1,1593,8,2.5,37.88,8,63,3
56,2,1,1,2,1,1,2566,13,3.5,38.03,21,67,3
44,5,1,0,2,1,1,2471,15,10.0,37.75,3,59,3
32,6,1,0,2,1,1,2072,7,8.0,38.09,11,58,4
32,7,1,0,2,1,1,1920,3,7.0,37.58,4,64,4
44,8,1,0,2,1,1,89,12,6.0,37.81,18,64,4
32,8,0,0,1,8,0,808,6,4.0,30.76,15,63,2
43,1,0,1,2,9,0,937,6,4.0,30.94,15,74,2
56,2,0,0,2,9,0,827,10,3.5,31.01,10,68,4
32,3,0,0,2,9,0,232,2,12.0,30.95,16,63,3
44,5,0,0,2,9,0,2276,0,6.0,31.11,22,60,4
43,6,0,1,2,9,0,2001,3,8.0,30.91,4,73,2
31,7,0,1,2,9,0,1005,5,7.0,31.31,5,72,4
32,8,0,1,2,9,0,392,1,2.5,31.44,6,81,3
44,1,0,0,0,10,0,357,5,10.0,30.85,5,63,2
31,2,0,1,0,10,0,1227,10,2.5,30.47,10,74,2
32,8,1,1,3,1,0,2193,12,8.0,38.86,18,75,5
20,1,0,1,4,2,0,1105,3,12.0,31.57,4,67,6
32,3,0,1,4,2,0,1726,5,2.5,31.39,5,71,6
19,5,0,1,4,2,0,2437,7,4.5,31.51,11,82,6
19,7,0,0,4,2,0,320,2,8.0,32.05,16,72,6
43,1,0,1,2,3,0,2001,3,12.0,30.91,4,73,2
56,8,0,1,3,5,1,171,11,7.0,31.25,7,74,5
44,2,1,0,1,6,1,312,2,12.0,37.49,16,63,2
32,3,1,1,1,6,1,2143,13,4.5,37.59,21,67,3
56,4,1,0,1,6,1,2164,7,8.0,37.68,11,66,2
31,5,1,1,1,6,1,2488,6,2.5,37.68,15,68,3
32,6,1,0,1,6,1,1197,3,7.0,37.13,4,57,2
32,7,1,0,1,6,1,335,6,4.0,37.73,15,57,3
44,8,1,1,1,6,1,640,12,6.0,37.57,18,83,2
32,1,0,1,3,7,1,1325,15,7.0,30.71,3,74,4
31,2,0,0,3,7,1,1535,9,3.5,31.12,17,60,5
32,6,0,1,0,10,0,2323,10,4.5,30.39,10,75,2
44,7,0,1,0,10,0,1243,4,6.0,30.25,2,70,2
43,8,0,1,0,10,0,1067,12,10.0,30.66,18,74,2
32,1,0,0,3,11,0,464,15,12.0,30.97,3,56,4
32,2,0,0,3,11,0,1463,9,2.5,30.86,17,56,5
32,3,0,1,3,11,0,2377,13,8.0,31.06,21,65,4
44,4,0,1,3,11,0,765,0,3.5,31.18,22,68,5
32,5,0,0,3,11,0,580,11,4.0,31.41,7,64,5
32,6,0,1,3,11,0,2151,3,6.0,31.14,4,78,4
32,7,0,1,3,11,0,1728,10,7.0,31.11,10,80,4
32,7,1,1,2,14,1,2591,8,10.0,37.74,8,73,3
43,8,1,0,2,14,1,2258,12,8.0,37.86,18,62,3
20,4,0,1,4,2,0,138,3,12.0,31.94,4,71,6
20,5,0,1,4,2,0,1957,1,6.0,31.57,6,75,6
32,6,0,1,4,2,0,466,15,7.0,31.67,3,71,6
20,8,0,1,4,2,0,94,13,10.0,31.84,21,75,6
19,1,0,0,3,3,0,1412,8,6.0,31.35,8,63,5
43,2,0,1,3,3,0,217,2,12.0,31.04,16,74,4
32,3,0,1,3,3,0,820,7,4.0,31.09,11,69,5
32,4,0,1,3,3,0,524,13,10.0,31.32,21,69,5
56,5,0,1,3,3,0,440,0,8.0,31.35,22,81,3
32,1,0,1,1,2,1,801,6,2.5,30.71,15,74,2
44,3,0,0,1,2,1,1092,7,12.0,30.84,11,73,3
32,4,0,0,1,2,1,2098,0,4.0,30.94,22,66,3
43,5,0,1,1,2,1,1501,9,4.5,30.51,17,84,2
31,6,0,1,1,2,1,684,15,10.0,30.53,3,77,2
44,7,0,1,1,2,1,153,4,8.0,30.61,2,74,2
32,8,0,1,1,2,1,417,10,7.0,30.78,10,68,2
32,2,1,1,3,3,1,0,4,10.0,37.87,2,72,4
32,3,1,1,3,3,1,2324,10,12.0,39.17,10,76,5
44,3,0,1,0,10,0,2107,4,6.0,30.75,2,78,2
32,4,0,0,0,10,0,918,6,4.0,30.18,15,59,2
32,5,0,0,0,10,0,297,2,8.0,30.78,16,66,2
55,6,0,0,0,10,0,1983,1,7.0,30.75,6,67,2
56,7,0,0,0,10,0,678,15,12.0,30.55,3,66,2
